id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
46273,UA-0065,heliport,Respect Hall Helipad,44.432273,34.081035,NA,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,Вертолётная площадка Респект Холл,0,2021-03-19T16:28:49Z
342217,UA-0149,heliport,Mriya Resort Helipad,44.3977,33.94168,251,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:09:05Z
342218,UA-0150,heliport,Internal Affairs Ministry Dacha Helipad,44.40043,33.92258,182,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:08:46Z
342221,UA-0153,heliport,State House #9 (Oliva) Heliport,44.4074,33.8539,184,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:19:57Z
342222,UA-0154,heliport,State House #8 (Berehove) Heliport,44.4045,33.8663,NA,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:21:02Z
342223,UA-0155,heliport,GK Tavriya Resort Seaside Helipad,44.4043,33.8779,NA,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:24:18Z
342224,UA-0156,heliport,GK Tavriya Resort Heliport,44.40605,33.88245,430,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:24:50Z
342225,UA-0157,heliport,Naberezhnaya Helipad,44.39893,33.9192,16,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:27:25Z
342226,UA-0158,heliport,Oreanda Heliport,44.4513,34.1293,479,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:30:05Z
342227,UA-0159,heliport,Pension Wisteria Helipad,44.461824,34.145346,125,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:31:37Z
342228,UA-0160,heliport,Massandra Palace Heliport,44.5145,34.2039,971,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:36:03Z
342229,UA-0161,heliport,Artek Heliport,44.56059,34.307563,335,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:44:30Z
46266,UA-0058,small_airport,Yenakiyeve Airfield,48.179565,38.201866,727,EU,Ukraine,UA,Donetsk,UA-14,14,Yenakiyeve,0,NA,NA,NA,NA,NA,"Yenakieve Airfield, Yenakiyevo Airfield, Enakievo Airfield, Аеродром Енакiеве, Аэродром Енакиево, DOSAAF Airfield",0,2021-03-10T13:46:35Z
342212,UA-0147,heliport,Yuzhne Heliport,46.61731,31.11865,119,EU,Ukraine,UA,Odessa,UA-51,51,Yuzhne,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T13:59:43Z
